Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,SVM,0.87,0.94,0.8,0.54,0.93,0.81,0.38,SVC,"{'C':0.3,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.06,0.82,0.8,0.84,0.56,0.9,0.84,0.43
Single_Model,All_Features,SVM,0.86,0.91,0.81,0.55,0.92,0.82,0.4,SVC,"{'C':0.5,'class_weight':'balanced','gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.83,0.8,0.86,0.58,0.91,0.85,0.45
Single_Model,All_Features,SVM,0.86,0.91,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':1,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.83,0.8,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.91,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':0.7,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.82,0.8,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.91,0.8,0.54,0.93,0.81,0.38,SVC,"{'C':0.5,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.82,0.81,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.86,0.89,0.83,0.56,0.93,0.84,0.41,SVC,"{'C':5,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.04,0.82,0.79,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.89,0.82,0.56,0.93,0.83,0.41,SVC,"{'C':0.1,'class_weight':'balanced','gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.03,0.83,0.81,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.89,0.82,0.56,0.93,0.83,0.41,SVC,"{'C':0.1,'class_weight':'balanced','gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.03,0.83,0.81,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.89,0.82,0.55,0.93,0.83,0.4,SVC,"{'C':3,'class_weight':'balanced','gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.04,0.83,0.81,0.85,0.57,0.91,0.84,0.44
Single_Model,All_Features,SVM,0.86,0.89,0.82,0.55,0.92,0.83,0.4,SVC,"{'C':0.7,'class_weight':'balanced','gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.82,0.79,0.86,0.57,0.9,0.85,0.45
Single_Model,All_Features,SVM,0.85,0.91,0.78,0.52,0.92,0.8,0.36,SVC,"{'C':0.1,'class_weight':'balanced','gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.06,0.82,0.82,0.83,0.55,0.9,0.83,0.42
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':0.3,'class_weight':'balanced','gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.83,0.82,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.54,0.93,0.82,0.39,SVC,"{'C':0.7,'class_weight':'balanced','gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.83,0.82,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.54,0.93,0.82,0.39,SVC,"{'C':0.7,'class_weight':'balanced','gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.83,0.82,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':0.5,'class_weight':'balanced','gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.83,0.81,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':0.5,'class_weight':'balanced','gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.83,0.81,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.55,0.93,0.82,0.39,SVC,"{'C':0.3,'class_weight':'balanced','gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.03,0.83,0.82,0.84,0.56,0.91,0.84,0.43
Single_Model,All_Features,SVM,0.85,0.89,0.81,0.55,0.92,0.82,0.39,SVC,"{'C':1,'class_weight':'balanced','gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.05,0.81,0.77,0.86,0.57,0.9,0.85,0.45
